source,description,url,content
{'name': 'HuffPost'},"The French teenager apologized and explained he and his mother had endured ""verbal assaults.""",https://www.huffpost.com/entry/tennis-slap-juniors-ghana_n_624e9fc1e4b0587dee72ecae,"A French junior tennis player just struck a rival with a slap likely to be another one heard around the world.
Michael Kouame, the top seed in the Tennis Foundation Ghana Open, lashed an open hand a… [+1415 chars]"
{'name': 'Rolling Stone'},"Despite actor's resignation, the Academy imposes hefty, decade-long punishment against Smith following his Oscars slap of Chris Rock",https://www.rollingstone.com/movies/movie-news/will-smith-oscar-10-year-ban-chris-rock-academy-1335039/,"Although Will Smithresigned from the Academy following his Oscars slap of Chris Rock, the organization has imposed a hefty penalty against the actor: A 10-year ban from the Oscars, as well as all Aca… [+2347 chars]"
{'name': 'Associated Press'},LOS ANGELES (AP) — The motion picture academy on Friday banned Will Smith from attending the Oscars or any other academy event for 10 years following his slap of Chris Rock at the Academy Awards .,https://apnews.com/article/will-smith-oscars-ban-664346ac2d2441939764f35be2d8026b,"LOS ANGELES (AP) The motion picture academy on Friday banned Will Smith from attending the Oscars or any other academy event for 10 years following his slap of Chris Rock at the Academy Awards. 
The… [+3701 chars]"
{'name': 'Forbes'},The Academy of Motion Picture Arts and Sciences announced its sanction against actor Will Smith for slapping  comedian Chris Rock on stage at the recent Oscar ceremonies.,https://www.forbes.com/sites/edwardsegal/2022/04/08/as-punishment-for-slapping-incident-will-smith-is-banned-from-attending-oscar-ceremonies-for-10-years/,"US actor Will Smith (R) slaps US actor Chris Rock onstage during the 94th Oscars at the Dolby ... [+] Theatre in Hollywood, California on March 27, 2022. (Photo by Robyn Beck / AFP) (Photo by ROBYN B… [+2573 chars]"
{'name': 'Forbes'},The Academy of Motion Picture Arts and Sciences announced its sanction against actor Will Smith for slapping  comedian Chris Rock on stage at the recent Oscar ceremonies.,https://www.forbes.com/sites/edwardsegal/2022/04/08/as-punishment-for-slapping-incident-will-smith-is-barred-from-attending-oscar-ceremonies-for-10-years/,"US actor Will Smith (R) slaps US actor Chris Rock onstage during the 94th Oscars at the Dolby ... [+] Theatre in Hollywood, California on March 27, 2022. (Photo by Robyn Beck / AFP) (Photo by ROBYN B… [+3006 chars]"
{'name': 'INSIDER'},"<ol><li>Billy Crystal: Will Smith slapping Chris Rock was 'assault'  Insider
</li><li>Poll: More Americans disapprove of Will Smith hitting Chris Rock a week following the Oscars incident  Yahoo Entertainment
</li><li>Will Smith’s Oscars slap has been a ‘ni…",https://www.insider.com/will-smith-chris-rock-slap-oscars-video-billy-crystal-2022-4,"Billy Crystal weighed in on the altercation between Will Smith and Chris Rock at the 2022 Oscars, calling Smith slapping Rock ""an assault."" 
During a recent appearance on Bob Costas' 
HBO Max talk … [+1948 chars]"
{'name': 'Forbes'},"The body will decide if further actions should be taken against Smith, who resigned from the Academy on Friday.",https://www.forbes.com/sites/marisadellatto/2022/04/06/meeting-over-will-smith-oscars-slap-moved-up-to-friday-academy-says/,"The Academy of Motion Picture Arts and Sciences moved its meeting to discuss possible repercussions for Will Smith, who slapped Chris Rock at the Oscars, to Friday,Variety and Deadline reported Wedne… [+2226 chars]"
{'name': 'The Christian Post'},"<ol><li>The Will Smith event: Why it matters  The Christian Post
</li><li>How Hollywood publicists feel about their jobs after the Oscars slap  The Washington Post
</li><li>Will Smith Oscar crisis handled by inner circle fighting to save the actor's brand  …",https://www.christianpost.com/voices/the-will-smith-event-why-it-matters.html,"By Richard D. Land, Christian Post Executive Editor | Thursday, April 07, 2022
Actor Will Smith (R) slaps actor Chris Rock onstage during the 94th Oscars at the Dolby Theatre in Hollywood, Californi… [+7081 chars]"
{'name': 'Vulture'},He remains eligible for nominations and wins.,http://www.vulture.com/2022/04/will-smith-banned-oscars-ten-years-the-slap.html,"Until they start giving out Academy Awards for stunts and fight choreography, the Academy of Motion Pictures Arts &amp; Sciences will not hold space for slapping at the Oscars. On April 8, the Academ… [+2429 chars]"
{'name': 'Vanity Fair'},"“I wouldn’t have told a joke about his wife’s hair,” the comedian said, referring to Will Smith. “I’d have told a joke about her boyfriend.”",https://www.vanityfair.com/hollywood/2022/04/ricky-gervais-pitches-his-own-jada-pinkett-smith-oscars-joke,"Five-time Golden Globes host Ricky Gervais is known for courting controversy with his comedy. As such, he pulled no punches while sharing how he might have handled Will Smith slapping Chris Rock at t… [+2603 chars]"
